student_id,study_hours,attendance_percent,sleep_hours,previous_score,science_score,passed
S001,2.5,72,6.0,68,71,1
S002,1.0,55,5.5,52,49,0
S003,4.0,88,7.0,81,86,1
S004,3.0,79,6.5,74,77,1
S005,0.5,48,5.0,45,42,0
S006,5.0,95,8.0,88,93,1
S007,2.0,65,6.0,60,63,1
S008,1.5,58,5.5,57,54,0
S009,3.5,84,7.5,79,82,1
S010,4.5,91,7.0,85,89,1
S011,0.8,52,4.5,47,44,0
S012,2.8,76,6.5,70,73,1
S013,3.2,81,6.8,75,79,1
S014,1.2,60,5.8,55,58,0
S015,5.5,97,8.2,91,95,1
S016,2.3,69,6.1,64,66,1
S017,0.7,45,5.2,43,40,0
S018,4.2,89,7.4,83,87,1
S019,3.8,86,7.1,80,84,1
S020,1.7,63,5.9,59,61,1
